"genus","species","sex","commonName","authority","trait_label","trait_value","trait_units","Trait error (+/- 1 se)","population","latitudePoint","longitudePoint","latitudeMin","latitudeMax","longitudeMin","longitudeMax","n in population","reference",
"Eupolyphaga"," sinensis","male","Chinese cockroach",,"Body_length",22.54,"mm",0.19,"Henan,Zhengzhou",34.44,,,,,,14,"10.1111/j.1570-7458.2012.01281.x","Hu2012"
"Eupolyphaga"," sinensis","male","Chinese cockroach",,"Body_length",21.98,"mm",0.26,"Henan,Zhumadian",32.42,,,,,,9,"10.1111/j.1570-7458.2012.01281.x","Hu2012"
"Eupolyphaga"," sinensis","male","Chinese cockroach",,"Body_length",21.38,"mm",0.14,"Jiangsu,Changzhou",31.79,,,,,,12,"10.1111/j.1570-7458.2012.01281.x","Hu2012"
"Eupolyphaga"," sinensis","male","Chinese cockroach",,"Body_length",22.06,"mm",0.39,"Jiangsu,Danyang",31.59,,,,,,6,"10.1111/j.1570-7458.2012.01281.x","Hu2012"
"Eupolyphaga"," sinensis","male","Chinese cockroach",,"Body_length",23.02,"mm",0.37,"Hubei,Luotian",30.47,,,,,,6,"10.1111/j.1570-7458.2012.01281.x","Hu2012"
"Eupolyphaga"," sinensis","male","Chinese cockroach",,"Body_length",22.17,"mm",0.34,"Hubei,Wuhan",30.35,,,,,,19,"10.1111/j.1570-7458.2012.01281.x","Hu2012"
"Eupolyphaga"," sinensis","male","Chinese cockroach",,"Body_length",22.48,"mm",0.26,"Hubei,Xiangfan",30.02,,,,,,14,"10.1111/j.1570-7458.2012.01281.x","Hu2012"
"Eupolyphaga"," sinensis","male","Chinese cockroach",,"Body_length",22.49,"mm",0.3,"Hunan,Pingjiang",29.71,,,,,,31,"10.1111/j.1570-7458.2012.01281.x","Hu2012"
"Eupolyphaga"," sinensis","male","Chinese cockroach",,"Body_length",22.53,"mm",0.37,"Zhejiang,Jinhua",29.07,,,,,,12,"10.1111/j.1570-7458.2012.01281.x","Hu2012"
"Eupolyphaga"," sinensis","male","Chinese cockroach",,"Body_length",22.46,"mm",0.17,"Zhejiang,Jinhua",28.9,,,,,,11,"10.1111/j.1570-7458.2012.01281.x","Hu2012"
"Eupolyphaga"," sinensis","female","Chinese cockroach",,"Body_width",20.02,"mm",0.19,"Tianjin,Wuqing",39.04,,,,,,4,"10.1111/j.1570-7458.2012.01281.x","Hu2012"
"Eupolyphaga"," sinensis","female","Chinese cockroach",,"Body_width",20.36,"mm",0.24,"Tianjin,Tanggu",39.02,,,,,,25,"10.1111/j.1570-7458.2012.01281.x","Hu2012"
"Eupolyphaga"," sinensis","female","Chinese cockroach",,"Body_width",20.08,"mm",0.47,"Tianjin,Jinghai",38.93,,,,,,4,"10.1111/j.1570-7458.2012.01281.x","Hu2012"
"Eupolyphaga"," sinensis","female","Chinese cockroach",,"Body_width",20.17,"mm",0.58,"Shandong,Weifang",36.43,,,,,,10,"10.1111/j.1570-7458.2012.01281.x","Hu2012"
"Eupolyphaga"," sinensis","female","Chinese cockroach",,"Body_width",19.44,"mm",0.28,"Henan,Zhengzhou",34.44,,,,,,10,"10.1111/j.1570-7458.2012.01281.x","Hu2012"
"Eupolyphaga"," sinensis","female","Chinese cockroach",,"Body_width",18.46,"mm",0.28,"Henan,Zhumadian",32.42,,,,,,8,"10.1111/j.1570-7458.2012.01281.x","Hu2012"
"Eupolyphaga"," sinensis","female","Chinese cockroach",,"Body_width",19.06,"mm",0.22,"Jiangsu,Changzhou",31.79,,,,,,14,"10.1111/j.1570-7458.2012.01281.x","Hu2012"
"Eupolyphaga"," sinensis","female","Chinese cockroach",,"Body_width",18.44,"mm",0.3,"Jiangsu,Danyang",31.59,,,,,,13,"10.1111/j.1570-7458.2012.01281.x","Hu2012"
"Eupolyphaga"," sinensis","female","Chinese cockroach",,"Body_width",19.29,"mm",0.38,"Hubei,Luotian",30.47,,,,,,7,"10.1111/j.1570-7458.2012.01281.x","Hu2012"
"Eupolyphaga"," sinensis","female","Chinese cockroach",,"Body_width",19.04,"mm",0.18,"Hubei,Wuhan",30.35,,,,,,38,"10.1111/j.1570-7458.2012.01281.x","Hu2012"
"Eupolyphaga"," sinensis","female","Chinese cockroach",,"Body_width",19.54,"mm",0.34,"Hubei,Xiangfan",30.02,,,,,,10,"10.1111/j.1570-7458.2012.01281.x","Hu2012"
"Eupolyphaga"," sinensis","female","Chinese cockroach",,"Body_width",19.57,"mm",0.18,"Hunan,Pingjiang",29.71,,,,,,44,"10.1111/j.1570-7458.2012.01281.x","Hu2012"
"Eupolyphaga"," sinensis","female","Chinese cockroach",,"Body_width",19.65,"mm",0.17,"Zhejiang,Jinhua",29.07,,,,,,34,"10.1111/j.1570-7458.2012.01281.x","Hu2012"
"Eupolyphaga"," sinensis","female","Chinese cockroach",,"Body_width",19.84,"mm",0.14,"Zhejiang,Jinhua",28.9,,,,,,10,"10.1111/j.1570-7458.2012.01281.x","Hu2012"
"Eupolyphaga"," sinensis","male","Chinese cockroach",,"Body_width",11.58,"mm",0.35,"Tianjin,Wuqing",39.04,,,,,,4,"10.1111/j.1570-7458.2012.01281.x","Hu2012"
"Eupolyphaga"," sinensis","male","Chinese cockroach",,"Body_width",12.02,"mm",0.27,"Tianjin,Tanggu",39.02,,,,,,11,"10.1111/j.1570-7458.2012.01281.x","Hu2012"
"Eupolyphaga"," sinensis","male","Chinese cockroach",,"Body_width",11.38,"mm",0.14,"Tianjin,Jinghai",38.93,,,,,,5,"10.1111/j.1570-7458.2012.01281.x","Hu2012"
"Eupolyphaga"," sinensis","male","Chinese cockroach",,"Body_width",11.65,"mm",0.21,"Shandong,Weifang",36.43,,,,,,14,"10.1111/j.1570-7458.2012.01281.x","Hu2012"
"Eupolyphaga"," sinensis","male","Chinese cockroach",,"Body_width",11.54,"mm",0.22,"Henan,Zhengzhou",34.44,,,,,,14,"10.1111/j.1570-7458.2012.01281.x","Hu2012"
"Eupolyphaga"," sinensis","male","Chinese cockroach",,"Body_width",11.04,"mm",0.15,"Henan,Zhumadian",32.42,,,,,,9,"10.1111/j.1570-7458.2012.01281.x","Hu2012"
"Eupolyphaga"," sinensis","male","Chinese cockroach",,"Body_width",11.02,"mm",0.07,"Jiangsu,Changzhou",31.79,,,,,,12,"10.1111/j.1570-7458.2012.01281.x","Hu2012"
"Eupolyphaga"," sinensis","male","Chinese cockroach",,"Body_width",10.94,"mm",0.17,"Jiangsu,Danyang",31.59,,,,,,6,"10.1111/j.1570-7458.2012.01281.x","Hu2012"
